,baby,badge,ball,baseball,bell,bike,binoculars,blind,bubble,cape,cheese,cigar,coconut,crayon,dart,donkey,drill,earplug,foam,freezer,goose,guitar,hair,handle,hat,heater,hole,honey,hose,lantern,lego,magnet,mailbox,makeup,marble,microphone,motorcycle,muffin,painting,pants,pear,perfume,petal,pie,puppet,rabbit,raincoat,saddle,sand,satellite,seagull,seahorse,shield,ski,skin,spaghetti,stair,submarine,sunflower,swan,switch,table,tea,teapot,thorn,tie,toast,treadmill,triangle,velcro,yogurt,zipper
baby,0.0,0.18374878,0.11282706,0.15904397,0.12545061,0.15156311,0.2615949,0.11236584,0.14083612,0.14316988,0.12153143,0.22169948,0.15515208,0.14187688,0.18743849,0.14276767,0.12758732,0.18513554,0.16353202,0.15466166,0.17341554,0.21354795,0.12124896,0.14625919,0.19989276,0.08340132,0.13119805,0.0806371,0.17886937,0.25618243,0.19993174,0.14103585,0.19471478,0.14322442,0.20746708,0.195629,0.17329848,0.113997936,0.1423701,0.14936739,0.20988917,0.215182,0.20985246,0.15112114,0.16021359,0.148354,0.21223855,0.16541791,0.15219176,0.1329,0.22729164,0.27524066,0.15882528,0.19608808,0.10061669,0.21889627,0.2063548,0.27206016,0.21850812,0.17442119,0.13040274,0.16928273,0.16385418,0.18849325,0.15255034,0.2148239,0.15971136,0.22540623,0.16930676,0.14896595,0.17410529,0.19576609
badge,0.18374878,0.0,0.17991179,0.24295127,0.200109,0.23791707,0.293365,0.2069459,0.22009349,0.20229942,0.20572257,0.24045157,0.2384826,0.24675906,0.24584723,0.23057866,0.19849968,0.24122,0.2516799,0.23934436,0.2611307,0.2602327,0.20240772,0.19645941,0.22885871,0.19027215,0.2144208,0.21077228,0.26611847,0.27445877,0.2542522,0.16698265,0.24185753,0.20154399,0.29226673,0.21785432,0.23379833,0.26180035,0.19828767,0.227552,0.27445805,0.2916239,0.24833697,0.21578681,0.22636425,0.23809743,0.27016854,0.20228171,0.24716508,0.21133661,0.2872272,0.33498347,0.16955489,0.2472347,0.19574606,0.28289366,0.23948938,0.3597561,0.29541665,0.24578321,0.20687819,0.2113955,0.21369553,0.24197102,0.22644806,0.22274947,0.22744745,0.28534877,0.21378034,0.24246997,0.2418549,0.24651968
ball,0.11282706,0.17991179,0.0,0.13960725,0.10909653,0.16691124,0.27330565,0.12760723,0.1316433,0.15763986,0.1406073,0.22018468,0.14990115,0.17310333,0.16826683,0.17659795,0.11814511,0.19944406,0.17920578,0.1802671,0.20142615,0.22540057,0.1398114,0.14129311,0.19236279,0.12766945,0.12893152,0.14865953,0.19453055,0.23785132,0.20923686,0.15430331,0.1934151,0.17688668,0.2229296,0.19170523,0.1757425,0.19542742,0.15845555,0.16299886,0.19843066,0.25180173,0.21197498,0.15191281,0.17133707,0.178514,0.23955154,0.17442644,0.17393816,0.13525951,0.23790777,0.29840374,0.15020025,0.21290678,0.14406443,0.21330535,0.20452702,0.30753815,0.23910183,0.20659542,0.14245892,0.16066206,0.17556107,0.1783377,0.16484666,0.20485514,0.17919517,0.22024107,0.16697621,0.16782928,0.17381716,0.20732486
baseball,0.15904397,0.24295127,0.13960725,0.0,0.18156183,0.17707628,0.29052365,0.18252409,0.2088294,0.20630169,0.19110024,0.23850548,0.19772935,0.2049644,0.22697663,0.21751255,0.1809628,0.24944663,0.22491902,0.22678477,0.2523862,0.2163384,0.18963242,0.19655704,0.24218196,0.16572428,0.1858421,0.1776483,0.22416306,0.2911569,0.25210458,0.20884931,0.20089561,0.18047428,0.26316804,0.21874607,0.16852427,0.23925531,0.20831978,0.21643567,0.2599814,0.26199389,0.24945378,0.19865954,0.21757948,0.21166027,0.26838338,0.21991575,0.20202136,0.18670279,0.27291352,0.33493054,0.21137637,0.22055542,0.17956185,0.26214468,0.25791538,0.31927574,0.2727977,0.24840188,0.18126106,0.2235744,0.22343546,0.24767876,0.22786546,0.26398116,0.2032485,0.24127024,0.2147522,0.22060215,0.22198534,0.23181206
bell,0.12545061,0.200109,0.10909653,0.18156183,0.0,0.18858606,0.25250095,0.13787627,0.18032956,0.13792723,0.15751123,0.2411583,0.17758745,0.17246687,0.19663906,0.1864152,0.10249889,0.2023505,0.20143569,0.18305278,0.20440066,0.23532546,0.16542578,0.1486044,0.19655049,0.13352501,0.14462608,0.146456,0.19478053,0.22381544,0.23248738,0.16007578,0.17228466,0.18823314,0.23299682,0.20075738,0.2059778,0.2175855,0.17129326,0.19671297,0.18842947,0.24233496,0.20026022,0.17457354,0.18381226,0.1936574,0.22914529,0.16739565,0.18506706,0.14267516,0.23655742,0.28880227,0.14428473,0.22190619,0.15949726,0.25216997,0.20777309,0.29966253,0.23723733,0.19963217,0.1462217,0.17411745,0.18177056,0.1684556,0.17808342,0.21526432,0.180655,0.2257452,0.1590522,0.18250638,0.20091856,0.20899922
bike,0.15156311,0.23791707,0.16691124,0.17707628,0.18858606,0.0,0.26157546,0.17365956,0.18831533,0.18793213,0.19572628,0.24532187,0.21355283,0.20738292,0.23743153,0.19167423,0.17689276,0.22971892,0.23129219,0.23064202,0.22660398,0.18613923,0.17405993,0.19005048,0.2422303,0.19073415,0.17003775,0.18254775,0.19805837,0.26746893,0.23817837,0.20538038,0.19827157,0.19138485,0.27176493,0.19992042,0.060897708,0.24077398,0.19429803,0.20279062,0.26003313,0.27125925,0.24696839,0.18279302,0.21650672,0.20119601,0.2631644,0.16557944,0.21272373,0.1995399,0.26029676,0.3059317,0.20521057,0.19779164,0.16120511,0.2538805,0.20799398,0.31612086,0.2748152,0.2241193,0.19220346,0.18906462,0.21221542,0.23912555,0.21350455,0.23295063,0.21226615,0.21620941,0.20426893,0.23620808,0.22466338,0.22550607
binoculars,0.2615949,0.293365,0.27330565,0.29052365,0.25250095,0.26157546,0.0,0.20897865,0.28972405,0.26805133,0.29015577,0.28797466,0.29413593,0.31319773,0.32517076,0.28081584,0.25475538,0.29854178,0.30786508,0.32322824,0.33259523,0.32256997,0.26484108,0.27278507,0.2935832,0.2557807,0.27899218,0.28481436,0.28710163,0.30565304,0.30926043,0.2565688,0.28602564,0.25879544,0.36815482,0.23314631,0.2726637,0.33394873,0.2793622,0.2552296,0.35638356,0.38521487,0.32516408,0.2921865,0.2819299,0.30588627,0.29537463,0.26963913,0.30065298,0.28961885,0.34044117,0.39159966,0.2999366,0.3065008,0.27090162,0.33196378,0.31215274,0.37830985,0.35947192,0.31774306,0.28735453,0.2793737,0.2595023,0.26026165,0.3195324,0.29961652,0.28218436,0.32518804,0.2756052,0.29152375,0.33034146,0.31619048
blind,0.11236584,0.2069459,0.12760723,0.18252409,0.13787627,0.17365956,0.20897865,0.0,0.157457,0.15203261,0.14354539,0.19761485,0.17133188,0.17315692,0.19693232,0.1645171,0.13653219,0.20790994,0.18189383,0.17976403,0.1921013,0.23207688,0.15587687,0.14677882,0.21268171,0.12132573,0.15047067,0.12988222,0.19144183,0.24332356,0.21443868,0.1518861,0.19297022,0.16633421,0.22211373,0.19443345,0.18859053,0.18613183,0.16045725,0.17086577,0.21747285,0.24413937,0.20194364,0.15323657,0.14682269,0.17047703,0.21740961,0.1817553,0.15300798,0.15851939,0.23540682,0.31162453,0.14748752,0.19178128,0.11009729,0.22063804,0.20997596,0.2879932,0.23057282,0.19785595,0.1362701,0.16931152,0.17109954,0.20940793,0.15871614,0.19538009,0.16096014,0.2137866,0.15537697,0.16496229,0.19319832,0.19578934
bubble,0.14083612,0.22009349,0.1316433,0.2088294,0.18032956,0.18831533,0.28972405,0.157457,0.0,0.19121337,0.18415248,0.23700237,0.20591342,0.20413917,0.2439102,0.20844412,0.17781162,0.21323144,0.17138422,0.19860172,0.21646631,0.2533754,0.1878568,0.16295767,0.25358182,0.1649459,0.15644312,0.16100264,0.18181503,0.27812672,0.25497425,0.17665076,0.23574567,0.20085877,0.19902045,0.22587335,0.20293939,0.2177726,0.19057,0.2184205,0.24166787,0.2532202,0.24300015,0.18901539,0.19482398,0.18999755,0.24301153,0.19554353,0.21519852,0.16985047,0.2599243,0.29458058,0.18129486,0.24236691,0.17261171,0.24968243,0.26009673,0.29111987,0.26162362,0.21059793,0.18105948,0.20565903,0.2153486,0.20660496,0.20727873,0.27324128,0.21357012,0.26226044,0.20035017,0.2184962,0.1869725,0.23281085
cape,0.14316988,0.20229942,0.15763986,0.20630169,0.13792723,0.18793213,0.26805133,0.15203261,0.19121337,0.0,0.1628573,0.23259324,0.19296074,0.1760844,0.19297343,0.1984151,0.15967435,0.20290875,0.19478989,0.19196558,0.19424409,0.24702299,0.15853572,0.17251062,0.21445733,0.15013134,0.16471279,0.17550135,0.19410759,0.24111229,0.2358123,0.1784172,0.20000494,0.18724644,0.23739982,0.20839006,0.19891298,0.21224803,0.18414152,0.1839642,0.21101296,0.24653494,0.23800611,0.18187368,0.18838882,0.19833803,0.18458456,0.15567243,0.18260133,0.17284662,0.23059869,0.31056023,0.16028547,0.22003376,0.14957309,0.2595734,0.21843582,0.2813723,0.23700112,0.19402885,0.17484248,0.16326189,0.20152724,0.19337213,0.19527906,0.22497237,0.18850338,0.24012744,0.16439885,0.20106429,0.21694136,0.1748752
