,baby,badge,ball,baseball,bell,bike,binoculars,blind,bubble,cape,cheese,cigar,coconut,crayon,dart,donkey,drill,earplug,foam,freezer,goose,guitar,hair,handle,hat,heater,hole,honey,hose,lantern,lego,magnet,mailbox,makeup,marble,microphone,motorcycle,muffin,painting,pants,pear,perfume,petal,pie,puppet,rabbit,raincoat,saddle,sand,satellite,seagull,seahorse,shield,ski,skin,spaghetti,stair,submarine,sunflower,swan,switch,table,tea,teapot,thorn,tie,toast,treadmill,triangle,velcro,yogurt,zipper
baby,0.0,0.14402803729155278,0.13751663725008123,0.05972050686506836,0.09737145402384961,0.07653782317488633,0.0988906177255724,0.111953350230944,0.07800326980768568,0.06694029447270922,0.25335019895224997,0.1321955089632333,0.17572500237561306,0.09766744171874842,0.21172542119246118,0.15388588777335077,0.18529463249965206,0.07646682039323249,0.1264293027317347,0.16490474482665607,0.20708671054532224,0.11858593368240344,0.1728557053526365,0.16489781279730786,0.20574364154055724,0.16394067530584977,0.2459520247058533,0.13805341979272778,0.22990247822097687,0.26889332672542043,0.1458555070205939,0.11826657164518906,0.0601581200510537,0.04563555285938059,0.09165415398208443,0.0906451898867141,0.10497197346272447,0.11804486689858684,0.0750256212137902,0.24274709523074367,0.08427692350008631,0.10687954820520362,0.11531490780322717,0.05620762472933316,0.1409604967920164,0.07725406602838625,0.11938654388875325,0.1721982969086705,0.23784861005123925,0.14130357485209133,0.12322717305900044,0.21145297845865896,0.1913075266310954,0.20745755530799603,0.2008298246382848,0.08701876816588061,0.23037635892001163,0.08894030826473209,0.15072158011557757,0.1830175537624339,0.22486287133896588,0.055524749161583564,0.1214972736812977,0.14466279655230052,0.23004229907272566,0.1043184700398585,0.2449424083424011,0.12330957092605466,0.10691068137339887,0.11681043398157787,0.15103411103522413,0.10557280900008414
badge,0.14402803729155278,0.0,0.14169888096412397,0.08595517551026466,0.09811587448208048,0.1845380905771573,0.10843552517056765,0.08099460398788128,0.10518209702050907,0.1908295729416276,0.10123182816783527,0.1896840014679142,0.2499077905645235,0.21211795424177782,0.12858569393713748,0.21620781898624297,0.19173982744858398,0.1554052561159518,0.26767245691355,0.1628729743264291,0.22920972563295572,0.18487173373273935,0.2779714621678576,0.12490148923736577,0.15759472180032708,0.1845516907027167,0.3583456071581492,0.23572965700324655,0.2964785239811829,0.15137228441525286,0.2806693695231074,0.1044665288110096,0.08667509124541228,0.17472509996372576,0.1420958187475776,0.21963960150670847,0.17124909982962788,0.1563404776439149,0.1491877088204775,0.09940901841049377,0.16916451677327216,0.20754713190321805,0.10438249245074505,0.20493477445477026,0.14186819404202888,0.09791101956249615,0.22661452008361005,0.09352274018524176,0.08061589343235165,0.11929434435468855,0.14026261488820024,0.21606142284928143,0.08298086584344344,0.2088805319398036,0.15816989444651564,0.10010774278671475,0.16049126806885705,0.0923591672979236,0.14628875942258524,0.16432671756032646,0.15511534594357823,0.10423515470272104,0.15269907901112267,0.11324375747144222,0.20763691749698054,0.18087630298192048,0.18062720083068973,0.1237942670317167,0.181402962959898,0.21650061446819724,0.26018611255635826,0.08676760934582806
ball,0.13751663725008123,0.14169888096412397,0.0,0.037648479930918355,0.03297174589645335,0.18147148748325248,0.08845874623111427,0.06301955164865214,0.05122850417734315,0.1942237517034643,0.24655766909439625,0.16792653555050363,0.1766706925783682,0.15783919083345932,0.14386273618493073,0.23720628158442658,0.11633410978869385,0.07884783924796346,0.1248931689148085,0.18580882578449287,0.2272860589235537,0.15663738273404582,0.14289106022878573,0.08966918636231247,0.1867738147911705,0.1867738147911705,0.14478098424900332,0.16710032605589598,0.16052967609901492,0.16298023923420735,0.11630328931074074,0.12263093169329242,0.0772727846075878,0.14394461582762108,0.05505905696346736,0.11585369891930142,0.09051371893934157,0.11509677381731553,0.13488131733443542,0.19500327597584044,0.09523809523809534,0.18315003382269301,0.06406984717594877,0.17048493799374687,0.15062589053478903,0.08949463823510506,0.13359091810305868,0.10592199003661995,0.1724771236509124,0.12223836403804189,0.12474000707761701,0.16245874677982086,0.14739499946617296,0.2911284874459247,0.1991251282353218,0.12840093701162114,0.16436396026833022,0.1021719328873496,0.0839904067518552,0.12648210682311922,0.20852937630959523,0.06346459738332688,0.20741060703223868,0.17611415912890038,0.11507547305686228,0.16489109479930852,0.15507617809317686,0.07347641910961267,0.12918710126407906,0.08348486100883168,0.17909386451728548,0.13333333333333341
baseball,0.05972050686506836,0.08595517551026466,0.037648479930918355,0.0,0.025576220781199477,0.11732649461997369,0.053297340942237925,0.04715042434881711,0.04274977521105494,0.1023439160720917,0.1423750812249155,0.09974402306581942,0.14832116739346246,0.10145235919466467,0.11498695950769589,0.18198685884104848,0.09897076638540991,0.04545044095075157,0.10749306588072893,0.09485795548818177,0.1722273183676889,0.10323855781016911,0.11211721091161087,0.07706238690623746,0.12939098054301723,0.11296439527024404,0.1691237577417205,0.1229981301173968,0.14890419461008675,0.15421739894413933,0.11832321965985426,0.09049140611375106,0.024325706655917156,0.07803102636068449,0.05329355772271571,0.08074783912035965,0.055186747594121566,0.08179037945359491,0.07010437018289983,0.13169698622035386,0.046016754018475714,0.1239343133394456,0.030597141623618263,0.09534496337326548,0.09901679655871665,0.04254158882909731,0.09370641634219723,0.06464686509229145,0.12090179476506369,0.06163154346946387,0.06834909317332638,0.10054057162189523,0.0881157938477799,0.1723597691168255,0.12201448530522963,0.048267949207356664,0.10024613784649039,0.052470317087638496,0.049861924346383146,0.09962486636756984,0.12126507093218253,0.01789045484389551,0.10545595177771194,0.10026741940866657,0.1127087834023861,0.09130222073136007,0.113815584249776,0.04668382478400235,0.09211285039268857,0.06430271360620798,0.1473149288645489,0.046016754018475714
bell,0.09737145402384961,0.09811587448208048,0.03297174589645335,0.025576220781199477,0.0,0.1820531227614841,0.08842534834051785,0.038551556310893464,0.05451864467512013,0.1689635198542161,0.19604851637006204,0.1786142150676321,0.23303501115262948,0.159456459556795,0.14885779856036618,0.24466585080864012,0.10311220685159117,0.0859465590514078,0.1848021260831928,0.16240469305480487,0.2801852990562772,0.16882957728698378,0.16794970566215617,0.0824091977038881,0.17278639003627816,0.17278639003627816,0.22923645922170466,0.17282195958400726,0.24473407003090641,0.12281701695089475,0.17680030122970136,0.10922911980395955,0.05302908701863196,0.12963955400578786,0.0638598233155403,0.1529332755302839,0.11747527042194517,0.1105982022855404,0.10021599027504435,0.14667981401713814,0.08620265896637336,0.17192996977539787,0.043598972153122695,0.15454545454545476,0.146307937932051,0.08616193339438827,0.16495307434655904,0.0838426650978108,0.1280306321249597,0.10056197320496618,0.11899443878141602,0.18329522938272058,0.10160133984143871,0.2672907962999169,0.17028333024693554,0.10924157676158575,0.14500397772689133,0.07272727272727264,0.0967502310040752,0.15498545173656364,0.1941278136533423,0.03989838131527046,0.15983194958319402,0.14480418628852498,0.14906481556115703,0.14969549200237287,0.19074753559949909,0.04723314175304272,0.13888222925879923,0.12996627784553605,0.23529229511222371,0.08620265896637336
bike,0.07653782317488633,0.1845380905771573,0.18147148748325248,0.11732649461997369,0.1820531227614841,0.0,0.08355607902632667,0.15271488736721184,0.11216793057999919,0.03315843661143092,0.27217550794431933,0.09759759489249498,0.07600759207435015,0.09133425461896916,0.21303593677674615,0.05205054207992432,0.258047314291188,0.07688463187739258,0.14532399161536735,0.2476881815261559,0.12333800600802447,0.07366640174906869,0.1681886289389667,0.16837046437140768,0.13820387917303,0.10899045134838692,0.19598457849568396,0.11797357632778416,0.17031807719870395,0.32149314048652144,0.11800290110965339,0.10652845060008165,0.07132161634984624,0.03684810978116537,0.14059877275570476,0.07565076643927704,0.07226928421125423,0.15395091364289215,0.08781339080680073,0.2625960524094142,0.15170681430082533,0.14590692405220906,0.14021146242078308,0.03925900690459072,0.11806368368727327,0.1096044815332371,0.10912858157448058,0.20538411104496912,0.2792419324845874,0.14273116756861504,0.10960448153323687,0.20401687972637916,0.23555453860551245,0.13507203107166654,0.15788033708042037,0.06775713375128423,0.27217550794431933,0.14600800613741394,0.1551259852356992,0.16000082031129848,0.20423725325134134,0.10279564060339008,0.145837156482036,0.1263790692437644,0.26398120525989943,0.07437533149774833,0.20966983555914676,0.19147281046571096,0.07362848290222568,0.1202273020830894,0.07456214258300442,0.15170681430082522
binoculars,0.0988906177255724,0.10843552517056765,0.08845874623111427,0.053297340942237925,0.08842534834051785,0.08355607902632667,0.0,0.04770107879213581,0.04307737184774607,0.10888074912607981,0.16124852123725897,0.06481535754487455,0.07291345810662209,0.052767142081196705,0.09875439400251251,0.07217807557593969,0.12749512664527662,0.038159813591329916,0.14218355308156183,0.14548558479133644,0.1358669893150808,0.062398112578117226,0.10472130163263527,0.029157374059261443,0.08560546701515614,0.07244871114487073,0.12655175428274112,0.0432441182159099,0.1138171803735295,0.14033482772962091,0.0932100493045771,0.042589649962125,0.0218000162474683,0.06876818937295093,0.03942290039546925,0.05336915243687823,0.026570520735347603,0.06380759400460678,0.06753067657242873,0.1599767825095898,0.12197129232555892,0.1736255752851763,0.05789736828228498,0.10028830613608686,0.1092612289200724,0.04503048423211997,0.07482101909567207,0.05420452783786933,0.12165583647315259,0.047656116644564595,0.02436014839298839,0.105512700951373,0.09503332485907146,0.13892312153787278,0.10715244971063875,0.04863511857533265,0.15160769964228515,0.055646122852762825,0.03773584905660343,0.04536421088080622,0.14937521043215551,0.031223239552048643,0.10560383156884645,0.101277827279598,0.13112486419833158,0.06716671499936211,0.13109153020755804,0.08543152684128152,0.027695765187149557,0.0739501113728187,0.09833829205750111,0.12197129232555903
blind,0.111953350230944,0.08099460398788128,0.06301955164865214,0.04715042434881711,0.038551556310893464,0.15271488736721184,0.04770107879213581,0.0,0.06062031847479521,0.16643777455864572,0.1687776602226524,0.125500463216918,0.16643522379334075,0.09875711763817363,0.06942837763228127,0.15112562411213448,0.0745707660656868,0.06494155702091375,0.20397479305414923,0.15849033439023164,0.23349058885178064,0.10270304848506939,0.16643830402250792,0.037128604148909394,0.13639045935734906,0.13639045935734906,0.22566176889235723,0.1234007317107535,0.2296083840284221,0.05424662313085349,0.1657566330803667,0.03997945874901698,0.03931716388211459,0.12053225351324381,0.04120074344834834,0.11690437819845878,0.0837090467856112,0.08998169197780415,0.06040632161503812,0.10446567893411507,0.1010695190943921,0.20211807778737745,0.04818537428601477,0.1519758888382715,0.13768188049227537,0.049505909101152934,0.1140162459265619,0.0539616747148266,0.06167443623162572,0.0648335531427835,0.08470939394925814,0.1659000835490385,0.08209571999507748,0.21922816013269553,0.11036584422787044,0.08717635163220905,0.1208883073136694,0.03988074770769845,0.07392137714993874,0.09396323870021506,0.1880214335925089,0.036373841032030896,0.10598427099869379,0.10068045589465435,0.1054350659806863,0.10283981133260045,0.14716560188430172,0.026503559316670477,0.07836978190265442,0.1281657199464542,0.18885436285733392,0.1010695190943921
bubble,0.07800326980768568,0.10518209702050907,0.05122850417734315,0.04274977521105494,0.05451864467512013,0.11216793057999919,0.04307737184774607,0.06062031847479521,0.0,0.13327314187813233,0.2303707901219415,0.16201687004253407,0.13730665671513542,0.13478410301753263,0.15410792212144642,0.15813736610080054,0.18262839377954632,0.07793156977815852,0.12205509670858739,0.19217506021134556,0.19073212731657008,0.14694941804688721,0.18480877015631614,0.0725698020911838,0.14459522699869276,0.14459522699869276,0.1824943628165725,0.11093264180436713,0.18133128722738268,0.17887835552711773,0.14144648812903426,0.06931567844770492,0.039826613059183225,0.07352426819924396,0.035705750477116105,0.09791908617251599,0.07449949028479896,0.05249613284442989,0.11218226591537794,0.1768318529242252,0.1284540910466292,0.13378596759958394,0.05381847580439103,0.10693119806813,0.07759261456991673,0.06096371881583207,0.14625917926559606,0.09053868313735647,0.16712750622647143,0.09760343495050272,0.08818216174870652,0.19150481491042937,0.14997867691874933,0.2350975487213003,0.19799865071507572,0.08102587623486612,0.21450214661930112,0.05606019036315024,0.07866272989262324,0.11461464326903381,0.2253169312711908,0.03779345024747627,0.16102579466286704,0.11720218740289834,0.18985435956074637,0.1282361768514816,0.18322951192449444,0.11257769409376095,0.10183737872331322,0.11779755715610019,0.17473349217293854,0.1284540910466292
cape,0.06694029447270922,0.1908295729416276,0.1942237517034643,0.1023439160720917,0.1689635198542161,0.03315843661143092,0.10888074912607981,0.16643777455864572,0.13327314187813233,0.0,0.21352185731408813,0.11813834082778485,0.09533745393619875,0.10631702100261597,0.21739130434782605,0.09255748919921536,0.24279648902166384,0.077239243255521,0.15005410363020588,0.20845428279496736,0.13641442164027806,0.09514900220078037,0.154877152553485,0.1818397890796325,0.12441255687257302,0.067923044412739,0.2226444728842477,0.12642068611323232,0.1978290326435611,0.304472774839453,0.1558621970551327,0.12126068361661346,0.06667231623229997,0.02444113595065056,0.16909517387307083,0.09679330299124334,0.0839469457122175,0.15561762956699177,0.06095604859351367,0.21155809599395137,0.1078905822431212,0.11070633941523111,0.10873147875162081,0.056371480608658375,0.08820980017545732,0.11250371638290657,0.10466855680882936,0.20640482607863875,0.26214944571838494,0.13800313628005634,0.11250371638290624,0.17121123829941343,0.19755112826406263,0.09039657541711388,0.11795401758779378,0.041137074189628975,0.21352185731408801,0.13009245868610686,0.16288797645177178,0.18785387986466007,0.14719713457755834,0.08988383945646428,0.09157584708313271,0.09310938207225017,0.24525834313193584,0.09039657541711377,0.17294808513100235,0.1637438644025836,0.10940570896596802,0.12961777511756112,0.09638928655277657,0.1078905822431212
