,album,almond,altar,antenna,armor,bean,beanie,beet,bottle,bread,bun,butter,cabbage,can,coaster,coat,coin,deer,dryer,fire,foot,fossil,frame,gate,gift,goggles,graffiti,grill,hamster,handkerchief,jet,ketchup,knot,leash,leopard,lizard,lobster,man,meat,missile,mitten,money,napkin,net,notebook,organ,outlet,oyster,parachute,parrot,pea,peeler,pickle,pocket,puddle,raisin,raspberry,recorder,rock,root,rose,sandal,seal,ship,taxi,treasure,trumpet,van,volleyball,wall,whip,yacht
album,0.0,0.04416792359301025,0.15688494386588325,0.06685973246572663,0.0865078724605437,0.06111802691953616,0.07092750338215059,0.11570418814514438,0.04474773643171004,0.10652904533273377,0.03928356242929287,0.0938697236549011,0.10319056572200436,0.12151741425792417,0.26307051952436367,0.2813717279777601,0.18317407590018697,0.21315737232009102,0.14571785702966988,0.15282207434893735,0.23730928875266644,0.12287175161751962,0.09003979861767009,0.14318529550716674,0.21045796604827738,0.13652947731510823,0.13560845372924402,0.19595895493320414,0.11633479330072971,0.20180127028338846,0.19226865173577457,0.18937689477416175,0.1309460238240434,0.1903862043745237,0.09105420430270283,0.16068865221286566,0.12886968658384435,0.07158583490294479,0.08263505541227412,0.05708592761032716,0.06313698532396761,0.054556181855844876,0.09029320955171438,0.14020507571400675,0.1675414148869191,0.1538787817805799,0.10921430162792545,0.20395644702642513,0.12488515977331949,0.09839542320881456,0.13835956314467113,0.07130956226921581,0.10566367902792362,0.16432834950680764,0.048564201554612496,0.14784545934639193,0.12130868500946224,0.23562578589802885,0.2515448008162511,0.2630712564542127,0.27786325292124814,0.08712907082472321,0.1757020656100743,0.23785953669380566,0.18476613072003267,0.19386770433040623,0.08603935192124212,0.048658575983099084,0.04090256229552036,0.2330136890973622,0.21665054819935992,0.12943040821459117
almond,0.04416792359301025,0.0,0.15387819572198402,0.03233469296644653,0.0832501429976873,0.06251742304505115,0.09034196995968313,0.1397218705589881,0.056159910610240615,0.121870928469905,0.018400595894229932,0.09560504340816689,0.11175713683248756,0.07603478977054001,0.23689987244269595,0.2514544355980678,0.15224960176166735,0.21035130499499166,0.14541697767920403,0.23206439989368044,0.2667695209533968,0.1641010189139528,0.15115056572715446,0.14718938171851526,0.2333792248692631,0.12471609745276169,0.16003400269434753,0.21296463590987225,0.1178570388002731,0.21215200237993126,0.18002276821782914,0.19873750214102814,0.05271918620743976,0.2441311881783057,0.12218379888930242,0.1717078807912349,0.1373273761438668,0.05140501860565638,0.08466759308270844,0.0865134088706968,0.036256493463249106,0.04072425923021139,0.06887004251102513,0.09453616306092372,0.14019491855643262,0.11367089449815748,0.10901742351161248,0.2046291381546972,0.1536449629976716,0.11367089449815748,0.21242466132480575,0.1418758685150392,0.14003337283700157,0.15214925845797944,0.06249704085995822,0.1581756388692419,0.16028021811940207,0.22491516064658734,0.22512106537604126,0.26137491898170795,0.27874679510797995,0.0721767503961398,0.21623294739574828,0.30003864263326974,0.18714708841312322,0.1983244728146597,0.0766651512804376,0.07322593799624222,0.10283834084211196,0.2812957282306817,0.2965475418873408,0.12648424034841887
altar,0.15688494386588325,0.15387819572198402,0.0,0.10339617587638361,0.20745980051868607,0.18531183010964714,0.2126858030371438,0.16720764855652814,0.08319101196665801,0.09491726495222885,0.14910346700340926,0.13099928545029027,0.16406302428828057,0.18179806854469183,0.1262276063311033,0.18578808191206608,0.1561803757997775,0.13587358772464564,0.13888888888888873,0.27831216351296784,0.1432139140930535,0.1284461875503261,0.18479403206524636,0.16007894886838403,0.1925938061268282,0.16027332332022448,0.16768510069622478,0.13643054969825152,0.11960580731457282,0.20123793697163272,0.10918682411833946,0.15862466288079358,0.11823580781770948,0.14814814814814792,0.06373758935472473,0.0785500979760877,0.08070514764806169,0.2476951037832147,0.1736269509321171,0.08398344503167676,0.12113215247362819,0.2126858030371439,0.14646242101524054,0.08402600298812446,0.12672739535881072,0.13166750449420406,0.03639539696584493,0.07158583490294501,0.10626468011013668,0.0741620412156746,0.278761353513842,0.11728333395021606,0.12444142988246731,0.19457507154547138,0.07222222222222174,0.1458561976638858,0.14934255398999685,0.13296242743825204,0.23067818137917018,0.17246461416153636,0.18350341907227397,0.06418079964259293,0.10657288763517059,0.23402001383809845,0.15946314110183724,0.08789941496815423,0.09062063715181101,0.1924081565927508,0.1037753570783786,0.18893148003964766,0.3071796769724492,0.1652211610992147
antenna,0.06685973246572663,0.03233469296644653,0.10339617587638361,0.0,0.10252220399632272,0.07451293839313,0.08255317181970045,0.12790642271660335,0.06162638155510258,0.09705106297895005,0.056715110285305625,0.11010859460877898,0.11609634652306822,0.06812348873961838,0.19807886550255482,0.23231095818211678,0.12316085744971617,0.14624855199872244,0.09884488742905562,0.2006574289697206,0.2279028383053071,0.14029974200611584,0.11901594584583375,0.1089232741352123,0.2098319090113684,0.1458522722509199,0.13011330007455912,0.17141856226031382,0.09179815368403921,0.18110096007878218,0.1274570214451367,0.1633548285395039,0.04460824913344752,0.16711421413897554,0.0926363290485328,0.12264859485662116,0.11871431360814366,0.07123187013157384,0.07683020901855908,0.0564657177914224,0.027307826376511524,0.05586380954536452,0.053579711862998924,0.04430808059558489,0.13933673080110354,0.10961511979407002,0.055105532145449554,0.12294866969055951,0.1126890701781551,0.07004245845158419,0.19731992549121868,0.11375700065781669,0.1216911890722967,0.1616280048829989,0.06334483753989706,0.09216735713025836,0.10953489646845993,0.17311249946859308,0.21344426727450316,0.2290364551601446,0.23745392921665787,0.039428937391445706,0.14364890934548946,0.2375689650017867,0.1303483265181654,0.12044565544998465,0.06926951652228686,0.07683020901855897,0.100327074886847,0.27514194042219453,0.29525418293780104,0.09245436736386237
armor,0.0865078724605437,0.0832501429976873,0.20745980051868607,0.10252220399632272,0.0,0.11730762701979225,0.09549042403933461,0.21538455735092654,0.1324014334225344,0.135590686436045,0.11730762701979225,0.21538455735092654,0.2101323777416224,0.15674443737439958,0.27176268066798304,0.25415998048815547,0.15792255861565951,0.14800580436430533,0.08205787022101008,0.18679378517740852,0.2927205220759437,0.20882575586723073,0.09168977314171389,0.18855523657196616,0.3064628425095913,0.19010161681660065,0.13920002242451257,0.1541688700965418,0.21555669947061695,0.2829237351820817,0.30958518078418007,0.30843592519187535,0.16790580378668274,0.2676527270615707,0.2158070440685499,0.2320263132472894,0.24524369968047666,0.10907477630158957,0.14534522606569633,0.114986959507696,0.10306143339104246,0.06607547847963824,0.13973521276131973,0.2041812458347907,0.15418403886133947,0.09033826504041087,0.14144994898899377,0.22984909850913382,0.14671223541408873,0.1277216240113529,0.21855763237904524,0.16569414925460835,0.18042339359899573,0.24925925907870738,0.14526044309103858,0.10847523046926777,0.08686982596505699,0.14738193522346965,0.1553469734986649,0.1555166230688474,0.15958084991708632,0.15505455423198444,0.23527694599591342,0.3568132502869349,0.24851434188381527,0.2154461787845322,0.14068516239840423,0.12499630287678443,0.1019066760138948,0.16117353614831775,0.19721950588026238,0.12746205597228288
bean,0.06111802691953616,0.06251742304505115,0.18531183010964714,0.07451293839313,0.11730762701979225,0.0,0.024605989816235962,0.05309734513274322,0.10370387608010878,0.06273326068261742,0.03539823008849541,0.08849557522123874,0.10674471582360723,0.09280164817305703,0.24135489704656565,0.26913224840966643,0.1533512184547623,0.13831187598647765,0.14457742161512965,0.23801609660928624,0.21224192033015943,0.21703192212530165,0.08433648840617725,0.10360139536157509,0.14665823855826665,0.16957091456188256,0.1123354299961613,0.1557522219525409,0.12797897122922375,0.18936139016685594,0.14818846043432543,0.17744975969377053,0.1194261765114275,0.20341601166276613,0.08468570816112553,0.13066446318668734,0.14034869050005772,0.067831139510799,0.017686966434656726,0.0816627467124953,0.029931096528296952,0.051147323426678604,0.03942330445463427,0.08762433927979996,0.13764259382968258,0.15109574605607246,0.13924847493673043,0.19163166038870538,0.13058672860822318,0.09487692129157388,0.10864525898142918,0.07276994027944228,0.11491676909084325,0.18364712329279698,0.09298050418874049,0.11687607163156488,0.1183238457910587,0.184608805526166,0.2579192567887971,0.20979447055777833,0.29489848844799627,0.10305784507361315,0.1789688450119008,0.2043555877989317,0.1552840084816831,0.15595465352155302,0.06631265733361924,0.07276994027944239,0.11560069271675055,0.32421461890459236,0.20979447055777833,0.15509509009317435
beanie,0.07092750338215059,0.09034196995968313,0.2126858030371438,0.08255317181970045,0.09549042403933461,0.024605989816235962,0.0,0.07768865703712113,0.11529402707704406,0.08592610667855838,0.07768865703712113,0.1307713242580063,0.11649173087609654,0.10036652196564366,0.22962074797960186,0.23497129356875113,0.1264565834366591,0.11321331341318408,0.09390995435740268,0.16769217328685404,0.22990519679364863,0.20573730761533715,0.05492353145136952,0.07135517251478396,0.16288986627967716,0.1531964828692447,0.06327974459592178,0.11884896718137539,0.16784638988264278,0.18586798043951624,0.19449800851929633,0.19185512088768453,0.16600277616363823,0.17196265491837548,0.13361220385188932,0.15452149510606072,0.19220695379716324,0.10869963086958911,0.04319789522123585,0.07621422503192721,0.05236613069774898,0.03980099502487555,0.06151409414385345,0.138550075887093,0.13357038363635965,0.12322877007550492,0.1287299961286651,0.18122163563620663,0.1081247858232357,0.0895067996937936,0.0822914107809779,0.07073176874004927,0.09624219058691319,0.1882138931649453,0.10409074138709473,0.07232060315931577,0.07334123464368747,0.14683919162338976,0.19546598040051832,0.18179908560402602,0.23191781119712274,0.12572314562756426,0.16173188692119456,0.20691501470411244,0.13828318031399145,0.15788921027711833,0.09599407325831599,0.09826564225886258,0.0993957785888605,0.2771095289926929,0.16769217328685404,0.11453486377910593
beet,0.11570418814514438,0.1397218705589881,0.16720764855652814,0.12790642271660335,0.21538455735092654,0.05309734513274322,0.07768865703712113,0.0,0.09235835552416072,0.06273326068261742,0.08849557522123874,0.03539823008849541,0.06873385266716503,0.11231129014782992,0.1577247282170533,0.2112417334322143,0.1822964759434883,0.15520772155537033,0.17173369394480809,0.21920167924161427,0.11252570771372394,0.18248921280730035,0.11824995179854103,0.07623044560162318,0.06132406241409316,0.16957091456188256,0.0876780808293881,0.1827681508500596,0.09400412595244023,0.1298649784359831,0.09733404016174785,0.08290375506087067,0.13796457279539753,0.18531183010964714,0.05871934527207945,0.13066446318668734,0.08452717689616529,0.18755925003234764,0.03604795771625191,0.11588649528221606,0.08536360529810838,0.15731265786844895,0.05882889426363158,0.10452018484869252,0.12901901976797936,0.20731457082057103,0.12012066326865767,0.1349040576089655,0.08733233699669207,0.0611456264328748,0.055430050562410016,0.054408948997847095,0.07997927313390285,0.1025908092935004,0.08211799525686914,0.16933887925741242,0.14142453105417507,0.184608805526166,0.23786302048579167,0.19098005319010636,0.32150609265750585,0.12099668817214082,0.1615000970334307,0.11075036283410022,0.07483486643231962,0.12872738428031283,0.04195559622058331,0.12785291412422795,0.14028160361767839,0.3782774493922251,0.19098005319010625,0.1358927057771101
bottle,0.04474773643171004,0.056159910610240615,0.08319101196665801,0.06162638155510258,0.1324014334225344,0.10370387608010878,0.11529402707704406,0.09235835552416072,0.0,0.09668649581162936,0.05832179385631675,0.04697627330036869,0.061916848035314165,0.09956022474775961,0.15374726292043062,0.192877323745679,0.16504550732311618,0.1877044583891765,0.1209078374237259,0.1617984620738172,0.16903639626922906,0.06631895187624781,0.1412987115094867,0.10518569485471418,0.1566917341986791,0.07527848657017067,0.10433227138448509,0.17307493633433557,0.07803840902640291,0.1514182955714226,0.12390731216646744,0.1151515151515149,0.0730855788052015,0.15282207434893713,0.06371832410146128,0.11564764554367235,0.05533372760684274,0.1557682351822619,0.10549537276852028,0.06031493499663698,0.07968357439828155,0.11529402707704406,0.09192319618616063,0.11189020783883308,0.1265918113400042,0.131496285961481,0.04668031766600267,0.1272727272727272,0.08500857800437178,0.059421288945836426,0.15572516323178265,0.07018597958833028,0.07057843181328205,0.08329702050387122,0.007757361052522338,0.15645228534034883,0.12632532008617658,0.1908739410392868,0.17718483643747196,0.2160705040978148,0.24100544977402683,0.045567106203725505,0.12656768290886722,0.20796039702975244,0.10489799554923496,0.14042614855247193,0.05018423284540785,0.09372557504179035,0.045466050908239186,0.2375799034195617,0.2522518654471462,0.07681381765500495
bread,0.10652904533273377,0.121870928469905,0.09491726495222885,0.09705106297895005,0.135590686436045,0.06273326068261742,0.08592610667855838,0.06273326068261742,0.09668649581162936,0.0,0.08895051213205463,0.08895051213205463,0.10616558337953386,0.15470017846513295,0.1726635548425598,0.21751523010326013,0.14248244394877818,0.05521607684777208,0.08486079011836478,0.2266263541363045,0.13591344384691972,0.18558807087657736,0.0832084112808067,0.09789832327688341,0.12571011577145919,0.1635363519130003,0.1021107700305175,0.09959472641980682,0.14026281744021296,0.20131707325389248,0.08663143138772877,0.15970836819686474,0.14186070244351012,0.17536906362314186,0.048032914705529395,0.06686612863406682,0.10284609120894272,0.170254319343619,0.08207857071166469,0.08326951920718784,0.07625380172097507,0.1448986159251029,0.08734595293391156,0.0802434655405464,0.10902172069166982,0.12144323050466754,0.0791598322806848,0.09668649581162947,0.08057201972331796,0.04649525964724566,0.15261682077870786,0.08207857071166469,0.1159028364953425,0.19812618316659225,0.08687208508513755,0.08041001179952989,0.06184386661508656,0.09243027742671472,0.22014411678322243,0.12908373213547808,0.18217669912363665,0.08989685656746027,0.13962251649180923,0.1750024395679518,0.14454917353195917,0.06230273259292307,0.06493966229428183,0.10927624269057834,0.08906637423931985,0.2325484258996432,0.18482237327880746,0.1395688124672816
